Temp,P,Core,Mflow,Pressurizer,L_Mf
595.76,15750400.0,3.8306,14804.0,7.834,-0.1886
592.23,11290400.0,3.6501,13424.0,7.833,-28.689
589.23,10774400.0,3.4352,11701.0,7.834,-3.0414
574.41,8753270.0,3.3267,7768.8,7.776,-159.23
561.49,7295920.0,2.7544,8030.0,7.241,-161.51
558.04,6932910.0,2.5194,6584.0,7.22,39.544
556.42,6763740.0,2.4773,5598.2,7.286,23.912
555.22,6640900.0,2.4235,4934.7,7.319,13.518
554.22,6541250.0,2.413,4601.3,7.327,8.5546
553.45,6464030.0,2.4638,4247.7,7.328,7.197
552.88,6407780.0,2.4714,3750.9,7.329,8.0384
552.44,6364880.0,2.4455,3362.0,7.34,11.832
552.11,6332410.0,2.4093,3013.9,7.367,16.096
551.85,6306430.0,2.3903,2752.3,7.403,15.762
551.63,6285280.0,2.379,2516.1,7.439,14.386
551.45,6267690.0,2.3687,2292.8,7.473,12.951
551.3,6253210.0,2.3947,2097.5,7.503,11.285
551.18,6241610.0,2.3999,1884.9,7.53,9.7156
551.08,6231380.0,2.391,1653.8,7.553,8.1889
550.98,6221910.0,2.3854,1468.6,7.572,-1.2057
550.89,6212410.0,2.3753,1193.7,7.548,-7.6205
550.82,6206200.0,2.2761,1308.5,7.539,-3.1059
550.76,6198610.0,2.3165,528.6,7.532,-4.3149
550.73,6194850.0,2.1654,187.79,7.523,-5.7558
550.69,6191150.0,2.0797,286.77,7.51,-6.3603
550.49,6172280.0,2.2699,149.28,7.494,-10.927
550.28,6150980.0,1.9258,-283.39,7.466,-10.434
550.12,6135910.0,1.8018,-407.58,7.446,-7.6042
549.94,6118510.0,1.828,-165.26,7.429,-6.1308
549.61,6089720.0,2.1145,139.05,7.412,-8.8644
549.09,6040990.0,1.9123,-326.59,7.384,-9.7827
548.75,6008610.0,1.7355,-257.98,7.355,-7.9405
548.5,5985550.0,1.7222,-488.57,7.348,0.1664
548.22,5958810.0,1.5567,-376.23,7.349,0.6009
547.85,5925500.0,1.6765,-13.586,7.347,-1.9263
